,Date,Title,Author,Abstract
66,2020-10-16,Le Sourire de l'Ange,Clacker, L'ambiance du texte de Clacker est totalement Kinguienne. Plein de références et par exemple et non des moindres celle d'un narrateur qui est écrivain. Texte à savourer sans modération. *SPOILER ALERT* Je pense à titre personnel que le monstre de l'histoire est la tignasse de cheveux de Donald Trump mais ce n'est qu'une supposition.
67,2021-02-02,Le dernier des Quechuas,Clacker," La contribution de Clacker à l'appel à textes ""placement de produits"" est excellente et ça faisait longtemps qu'on attendait le retour de l'excellence. Encore un qui n'a pas volé son titre de Grand Inquisiteur de l'Ordre de la Saint-Con. Aujourd'hui le train-train d'une rock star quinquagénaire qui écume les petits festivals pour sortir la tête de l'eau. Totalement déphasé avec l'époque. Son corps ne tolère plus la moindre drogue à part le coca. Par ailleurs il ne réussit plus à pé-cho que des démons du 3eme cercle. Enfin vous verrez bien en lisant."
68,2021-02-17,Recours collectif,CTRL X," Bonjour, c'est lapinchien de lazone.org. CTRL X masterise l'appel à textes ""placement de produits"" avec une seconde participation. Il vient vérifier tous nos orifices et, s'ils sont inférieurs à une pièce de 2€, envisage de nous injecter sa résine magique. Belle initiative sachant qu'en hiver un trou avec le froid peut se durcir et qu'un simple choc peut provoquer une brisure. Ce qui serait dommage. Imaginez une fissure entre vos deux oreilles. C'est pas sérieux. Bon. Bien sûr si ça se produit on pourra toujours vous remplacer la gueule mais ça vous coûtera une franchise, et par franchise j'entends un magasin lazone.org avec tous nos articles de merchandising. C'est pas sérieux. Donc si vous avez des trous, lisez ce texte et ils se boucheront. En plus en cas de fissure, on vous offre un brise glace. C'est une économie de plusieurs centaines de millions d'euros."
69,2007-04-16,Damned,Lapinchien," L'intro est effrayante à souhait, et pour ceux qui se sentent en mesure d'encaisser un texte mystique disséqué par Lapinchien, ça donne des putains de pulsions de joie hystériques. La suite de l'histoire de cet envoyé de l'enfer sur terre est à l'avenant, ambitieuse, sombre et violente, avec en plus un coté déjanté et grinçant pas désagréable. Littéralement dantesque, du grand Lapinchien à l'ancienne."
70,2006-04-15,Vie de Saint-Con,Dourak Smerdiakov," C'est inattendu : alors qu'on se résignait à se taper un sonnet de la part de Dourak, on a affaire à un vrai texte même pas inachevé. C'est une leçon d'histoire virtuose et superbement écrite, qui fait bien mal à la tête aux consommateurs avides de gags-minutes que nous sommes. La période : les invasions barbares. Le héros : le chef d'une meute de vauriens, le bien-nommé Conhart, qui devint le Saint-Con honoré dans nos pages."
71,2005-01-12,"Un soir, tous les soirs",Womble," Pour sa première contribution, Womble fait assez fort. Son texte fait penser à Bret Easton Ellis pour la satyre désabusée d'une jeune génération dorée, qui noie son ennui dans la fête et la drogue. Rien de très novateur donc, mais c'est très bien écrit et bien vu, et le texte sans trop tomber dans les clichés bas-de-gamme réserve quelques coups au bide. Très bon."
72,2005-12-12,Al shahid,Lapinchien," Il fallait bien que les attentats islamistes finissent par servir de support à un texte. Lapinchien s'y colle avec une rare finesse, se plaçant dans la peau d'un kamikaze moins fanatique que ce qu'on pourrait croire. Evident prétexte pour quelques digressions sociales et religieuses, sans excès de jugements de valeurs lourdauds. C'est avant tout un putain de bon texte effrayant et jouissif. L'ambiance est mystique et prenante, l'intrigue bien gaulée. A lire."
73,2002-10-21,Trisophrenia 3,nihil," Quand donc Scorbut, Lapinchien et nihil comprendront-ils qu'ils ne sont pas de taille à détruire le monde ? Pas encore, visiblement, puisqu'ils nous assènent ce récit dans lequel il est question notamment d'une soirée mouvementée, de l'émeute qui s'en suivit et de ses conséquences. Toujours illustré par Etylhic, sauf une image par nihil."
74,2004-08-02,La passion de Bernard,Vassago," Le premier article de Vassago est l'exposé de la vie minable de Bernard le gros boulet. On a l'impression de se retrouver sur la homepage de base de n'importe quel benêt puceau et gentiment maniaque, le genre qui foisonne sur le net. Le type en question décrit en détail ses petites passions de merde et son emploi du temps à la minute près. Rien de bien affolant quoi, c'est plutôt marrant. Mais petit à petit on sent monter comme un truc qui déconne... Excellent, vraiment excellent. Bienvenue sur la Zone."
75,2004-07-11,Néo-Inquisition 02,nihil, Le texte commence avec une longue errance comntemplative et assez laborieuse qui permet au narrateur de visiter l’Hôpital-Prison et ses quartiers désertés et en ruines. Il découvre les lois déviées de cet environnement sclérosé et hostile et apprend à survivre. La deuxième partie du texte est plus brutale et on tombe nettement dans le psychotique. Globalement on accumule les questions et et on attend quelques réponses.
76,2005-09-22,Surfaces (interlude),Konsstrukt," Après la première partie de la rubrique composée de vingt-cinq portraits, voici un interlude. Bizarrement c'est presque le meilleur texte de la série : d'abord il change agréablement de la routine qu'était devenue la première partie, et puis il est déjanté, pornogore, très marrant. C'est une sorte de zapping social et culturel sans fil conducteur autre que l'état de pourrissement global de la société, dans un futur proche. Très sympa."
77,2005-11-10,Phobie 15 : hors-limites,Aka," S'il est un sujet rebattu sur la Zone c'est bien le passage de la normalité à la folie. Ce texte en rajoute une couche supplémentaire, mais le fait de manière très intéressante : subtile, puissante, inquiétante. Le style est impeccable et les scènes marquantes. Et même si on a du mal à assembler les pièces de ce puzzle en une intrigue cohérente, on en ressort atterré et épaté. Foutument bon."
78,2005-12-21,Serial edit 7 : la grande peste,nihil," Je transpose le personnage du porteur de mort, créé par Nounourz, dans un cadre médiéval : celui de la grande épidémie de peste qui décima l'Europe au 14ème siècle. Le narrateur est une sorte de vagabond à demi-fou qui erre dans des quartiers sinistrés, jonchés de corps. Texte malsain, mystique et brutal, chargés de visions de mort et de destruction, qui passe à mes yeux pour l'un de mes meilleurs."
79,2006-05-31,Serial edit 18 : la lune rouge,nihil," Cet edit s'éloigne très nettement du précédent, dont il reprend uniquement la structure et quelques scènes au profit d'un texte onirique et grandiloquent. C'est un carnaval baroque et barbare, une série de scènes étranges et tordues sorties des pires cauchemars de Bosch. Une sorte de version macabre et monstrueuse d'Alice aux pays des merveilles. Un vrai jeu de massacre à recommander aux drogués et aux damnés."
80,2006-01-06,Serial edit 19 : carnival of sorts,Glaüx-le-Chouette," Glaüx réutilise les scènes de mon texte et les interprète dans un contexte artistique. Les deux enfants de la lune rouge deviennent ainsi un écrivain et son héros récurrent. L'imaginaire et le réel s'emmêlent joyeusement, aussi cauchemardesques l'un que l'autre. On regrettera une trop grande proximité avec mon texte, mais l'ensemble est bien construit et intelligent, il affine mon délire et le pousse encore plus loin."
81,2007-07-06,Deuxième litanie,[222]," Cette seconde litanie est vraiment ennivrante, très étrange, avec des jeux de répétition hypnotiques. On capte rien du tout, c'est de la poésie en prose hardcore avec rien pour se raccrocher. A ce train-là ça aurait pu vite devenir pénible voire insupportable, mais le texte est court, juste assez pour balancer quelques beignes sans que l'impact soit dilué dans la longueur."
82,2008-12-04,Ejaculation au Jack Daniels,Strange," Ah putain ! De la haine ovarienne d'orfèvre ! Une Saint-Con sans pute revancharde n'étant pas une Saint-Con AOC, Strange accomplit son devoir de dépositaire de la colère menstruelle et nous assène un monologue glacial à la fois brutal et taillé au millimètre, le tout décliné dans un style impeccable. On retrouve le manque de fluidité sporadique inhérent au genre, et on peut déplorer la sobriété de la crémation, mais globalement le conseil de classe vous encourage à poursuivre dans cette voie, pute."
83,2008-04-28,Les bêtes de poisse 6,Marvin," Les 'bêtes de poisse' nous arrivent au compte-goutte et on les déguste comme une liqueur rare. La formule reste inchangée, et notre héroïne, après avoir échappé à ses tourmenteurs, se retrouve dans un charnier immense où errent quelques humanoïdes improbables. Totalement et absurdement disjoncté, gore, jouissif et toujours émaillé d'humour scabreux. Profitez en pour relire toute la rubrique."
84,2020-04-21,Revolving doors,CTRL X," Ne dévoilant son jeu qu'à la dernière minute tout en évitant le moindre point de pénalité pour retard, CTRL X nous prouve une fois de plus qu'il prend la Saint-Con très au sérieux et que nous le méritons à peine. Son texte est efficace, bien construit, drôle, tragique, clairvoyant, engagé, riche en fibres."
85,2020-05-31,Il leur faudrait une bonne guerre - 1,PhScar," Premier volet d'une nouvelle rubrique de PhScar navigant entre le sombre et le fantastique. Presque onirique, encore une fois ce texte me rappelle les univers dickiens ce qui est de bonne augure pour la suite que nous souhaitons prochaine."
86,2020-12-10,La katchina,Castor tillon," Les kachinas ou katchinas (parfois retranscrits Katsina ou Katsinam) sont des esprits dans la mythologie des Indiens Hopis et Zuñis du Nouveau-Mexique et de l'Arizona, au Sud Ouest des États-Unis. Esprits du feu, de la pluie, du serpent, ou encore esprits farceurs, espiègles, bienfaisants ou malfaisants... Castor Tillon revient enfin sur la Zone avec ce texte Kinguien à un doigt près."
87,2006-07-01,Les bêtes de poisse 3,Marvin," On ne cesse d'être ébahi par le talent de Marvin avec ses petites histoires de bas-fonds glauquissimes. Il ne passe pas grand-chose, et on comprend toujours que dalle à l'intrigue, mais des fragments de souvenirs crades aux monologues désabusés, tout est jouissif. Du sexe non-consentant, du snuff barjo, du cannibalisme mongolien : la poisse intégrale. Encore !"
88,2004-09-18,Haine maternelle : freedom,Taliesin," Une merveille de colère larvée et de subtilité. Dans un style très proche d'Aka dans ses meilleurs jours, ce texte assome dès la première phrase, tout en nuance et en rage rentrée. On sent le personnage au bord de la rupture, mais on le comprend comme si on avait vécu soi-même ce qu'il vit, alors que Taliesin est sensé ne pas être coutumier de ce genre. La fin est trop rapide et brise un peu la progression d'un texte qui aurait été meilleur sans un dénouement, une issue aussi claire, mais c'est un bien faible reproche pour un texte aussi bon."
89,2004-09-20,Haine maternelle : une âme en trop,nihil," Tranche de vie cauchemardesque et profondément psychopathologique, c'est écrit dans un style enfantin mais trop sombre et trop bizarre pour l'être vraiment. La distinction entre les personnages est compliquée par la folie de la narratrice, un fille qui martyrise ses jouets, on perd rapidement ses repères. Ambiance poupées aux yeux crevés et ours en peluche éventrés. C'est disjoncté, déstabilisant et peu accessible. Un texte qui me tient à coeur."
90,2004-09-26,Haine maternelle : Betty,Nounourz," Pour son premier texte sur la Zone, Nounourz frappe un grand coup. Son texte est poignant, sombre, désespéré et très réussi. L'approche psychologique est impeccable. La narratrice est crédible dans ses réflexions et réactions, on a l'impression qu'on pourrait avoir les mêmes à sa place. Progression bien dosée, ça monte doucement en puissance et la situation vire naturellement au cauchemardesque, sans artifice boiteux. Super bon."
91,2004-09-11,Néo-Inquisition 04,nihil," Episode déterminant, c'est la charnière de la rubrique. Plusieurs noeuds de l'intrigue se dénouent pour préparer de futurs épisodes plus directs, moins énigmatiques. La première partie est une visite guidée détaillée et plutôt ennuyeuse d’une cathédrale très organique, occasion de mieux comprendre l'Hôpital-Prison. Dans la deuxième partie on replonge dans le chaos avec des scènes-clés brutales et un peu confuses. On a également droit aux surprenantes conclusions de la Néo-Inquisition sur la récente épidémie qui décime les dormeurs."
92,2005-11-01,Héritage,Narak," Ca tourne au sérieux du coté de Narak avec ce mini-article désespéré et rageur, aussi grandiloquent qu'une Bible du Néant. Le monde n'a plus le moindre avenir et l'apocalypse, moins brutale que prévu, se met déjà en place autour de nous. Crasseux, sombre et un peu surjoué, ça tape quand même bien dur. Puissant."
93,2005-04-20,Marre de la drogue,Erreur," Erreur a écrit ce texte dans un but préventif, mais on est bien loin des campagnes de pub bien-pensantes du ministère de la santé. C'est un catalogue succint des différents psychotropes du marché, avec leurs effets vus de l'intérieur. Ca se veut pas intelligent, ni sérieux ou précis, et pourtant ça s'approche sans doute plus près de la réalité de la drogue que pas mal d'études scientifiques à la con."
94,2006-01-24,n3rDz 7 : dans les entrailles de la Tour Parthénon,Lapinchien," Kikoolol se fait une redescente de LSD carabinée, ce qui rend le passage qui lui est dédié moins drôle et moins hystérique que d'habitude, mais Preacher est là pour rehausser le niveau avec une scène d'anthologie dans les chiottes de son voisin. Bigchief achève le lecteur avec une avalanche de gags stupides. Au final, l'intrigue n'avance pas d'un poil, il ne se passe rien, mais les personnages déconnent à plein rendement."
95,2006-11-03,Serial edit 13 : immaculée contre un mur,Glaüx-le-Chouette," Le titre l'annonce sans ambiguité : on aura affaire à un texte débile. Tel est le cas, mais l'humour ici est fin et pas absurde. Désolé de révéler un des secrets du texte, mais le narrateur est un ange pris dans la guerre du Paradis contre l'Enfer. Le savoir facilite nettement la lecture de tout le début du texte. C'est dans la lignée du texte 'la main mariale', en moins hilarant, mais c'est un bon moment de détente."
96,2006-05-28,Les bêtes de poisse 4,Marvin," Yeah, un nouvel épisode pour l'excellente rubrique de Marvin. C'est toujours un vrai bonheur à lire, un petit bijou de drôlerie débile et glauque, avec en prime le style inimitable de Marvin. Très (trop ?) poussé dans le gore pour cet épisode. On comprend toujours que dalle, surtout qu'on a eu le temps d'oublier ce qui servait d'intrigue jusqu'ici. La confusion atténue donc légèrement notre plaisir, mais rien de grave."
97,2006-10-19,Comme son ombre,Hokakyo," Hokakyo nous assène une superbe histoire de haine et d'amour pervers sans se départir de son flegme habituel. L'écriture est comme toujours parfaite, un peu dans le genre Obn en moins fantaisiste, la psychologie du personnage très travaillée et sans fausse note. Le manque d'action rend l'ensemble un peu monotone, mais il y a suffisamment de souffrance, de manipulation et d'intelligence morbide pour que chacun y trouve son compte."
98,2007-01-22,Héraklès Navet contre Nestor Burné,Narak," Narak réssucite le héros récurrent Héraklès Navet, qui n'avait plus fait parler de lui depuis un bail. Et cette nouvelle version de notre détective est foutument déjantée et anticommuniste, avec une forte tendance à raconter et faire n'importe quoi. Un texte qui sent à plein nez l'instabilité mentale et émotionnelle de son auteur, qui serait sans doute plus à sa place à sucer une statue de Lénine dans un goulag."
99,2007-07-03,Huitième et neuvième dialogues,[222]," Dans cette offre promotionnelle 2 en 1, qui ressemble à l'achévement des Dialogues, on assiste tout d'abord à un entretien décevant entre l'héroïne et son ex-futur psy, plutôt basé sur l'insulte adolescente, facile et cynique. La seconde partie est nettement plus intéressante, puisqu'elle décrit l'implosion sourde de la haine froide que l'anorexique voue à son père. Très bon, à l'image du reste de la série."
100,2008-04-16,Le Christ de Combourg,Winteria," Alors ça, ça déchire. Avec pour base un héros des temps modernes qui décide de crâmer Chateaubriand en utilisant une machine à remonter le temps, on pouvait craindre le pire. Et en effet, le pire arrive : narrateur complètement débile et hystérique, plan machiavélique d'une affolante stupidité, péripéties loufoques et violentes, humour zonard à tous les étages. L'archétype du texte de Saint-Con réussi. Totale éclate."
101,2008-02-06,La nuit noire (3),Konsstrukt," La situation dérape, peut-être un peu trop brusquement en fait. On était jusque-là dans le domaîne des petites manies un peu malsaines mais pas trop anormales. Ici, on passe une frontière, les interdits tombent et la psyché de notre narrateur commence à en prendre un sérieux coup. Résultat, l'identification du lecteur au personnage est annulée, mais on est contents que le récit décolle et donne lieu à quelques scènes croustillantes."
102,2012-02-15,Présentation de lazone.org à Googlebot,Dourak Smerdiakov," Premier édito sur la zone depuis des années. Le premier sur le nouveau domaine après changement d'hébergeur. Le premier de Dourak Smerdiakov. Le premier sous forme de ballade. Le premier aussi grandiloquent. Si avec ça, vous n'avez pas le sentiment de vivre une grande première, je ne vois pas ce qu'il vous faut."
103,2016-01-29,Je me prends l'épée,Muscadet," Alors qu'il avoue par dépit, dans le topic confessionnal du forum de la Zone, qu'il lit le discours d'investiture d'Alain Finkielkraut à l'Académie Française, Muscadet est invité par Lourdes Phalanges à lancer une grande initiative dans le seul but de nourrir la décadence locale. Au lieu de nous convier aux sempiternels serial-edits, serial-inserts et autres palimpsestes de citron ayant plongé la Zone dans une sombre période OuLiPiste, Muscadet insensible à la concussion et aux chant des sirènes propose un exercice de style redoutable et d'une grande difficulté tant technique qu'inspirationnelle : proposer, si le cœur nous en dit, notre propre discours d'intronisation dans le cercle des grabataires endimanchés, celui des immortels en costume d'époque et épée, celui des Highlanders. Et puisqu'il n'en restera qu'un, il faut rendre hommage à ceux à qui on succède après les avoir un peu secoué et décapsulé parce que sinon la pulpe elle reste en bas. Superbe texte, superbe prose, drôlissimes références et gros leuveul. Muscadet se choppe un max de Quickening au passage en égratignant bien la Zone devenue mollassonne. Bien sûr à la lecture au bout d'un moment on entend du Queen en boucle et Freddie Mercury crachoter les poils de ses moustaches, mais c'est pas grave. C'est juste génial. Espérons que l'initiative de Lourdes Phalanges fasse d'autres émules. La barre est haut placée cela dit mais on ne sait jamais c'est toujours pas mal d'avoir un discours d'investiture sous la main on ne sait jamais avec les aléas de la vie ce qu'on pourrait être amener à devoir improviser lamentablement au dernier moment alors autant prendre nos précautions. Et puis ça peut toujours servir d'éloge funèbre aussi alors c'est pas complètement gâché si on n'est pas un jour coopté dans ce grand club d'escrime."
104,2016-04-13,09. Les pingouins et le mangeur de verre. #SaintCon2016,CTRL X," Texte en compétition dans le cadre de la #SaintCon2016. Cette année, l'auteur des textes demeure anonyme jusqu'au verdict des votes pour ne pas les influencer. Excellente nouvelle qui aurait méritée d'être relue pas son auteur pour corriger quelques petites fautes avant d'être postée. Humour de haute volée et respect des traditions séculaires de la Saint-Con. Exemplaire, donc. Un récit avec des ruptures qui font sens et lui confèrent une aura charismatique. Tranche de vie, tranche de jambon : à vous de choisir. Prévoir de bien s'échauffer les zygomatiques avant de se lancer dans cette aventure de lecture de laquelle vous ne sortirez pas complètement indemne. Au final l'impression d'être le rescapé d'un attentat au gaz hilarant. Rappelons qu'il vous est toujours possible de poster une ou plusieurs contributions pour briguer le titre de Grand Inquisiteur de l'Ordre de Saint-Con, avant le 17 Avril."
105,2016-09-05,Lieu commun n°22 : On est tous le con de quelqu'un d'autre,Mill," C'est toujours un plaisir de retrouver les billets d'humeur de Mill et en particulier les Lieux Communs. En premier lieu, parce que ce ne sont pas vraiment des billets d'humeur au sens journalistique du terme, mais de la littérature pure et dense. Ici le N°22. Pour ma part un des meilleurs car il n'attaque pas frontalement le sujet mais digresse tout autour, colorie bien à l'extérieur du motif, si bien que la silhouette du thème non traité apparaît en prenant du recul, comme mise en évidence par le projecteur braqué derrière, en ombre chinoise. J'ajouterai cependant aux propos tenus : Que vivent les combats perdus d'avance dans ce monde pourri par la connivence et la concussion. Certes, ils ne seront pas remportés, mais l'énergie du désespoir de ceux qui n'ont plus rien à perdre, concussionnaires et connivents, vous allez la sentir passer. Et la petite cicatrice qu'elle vous occasionnera, vous gratouillera tout le restant de vos misérables vies de merdes humaines."
106,2017-02-24,Brigade du Frelon ou Fièvre Jaune,Clacker," Nouvel épisode de la formidable saga ""La Ruche"" de Clacker. J'avoue être accro à l'intrigue et de fait dès que j'ai vu que le texte était en attente je me suis jeté dessus, puis comme je l'ai trouvé excellentissime j'ai bien sûr voulu le partager avec vous au plus vite au détriment de deux contributions en attente de deux nouveaux auteurs. Je suis un éjaculateur précoce de la publication. Et puis vous êtes nombreux sur la Zone à suivre la fourmilière de Mandeville, tout comme les marseillais ne manquent jamais un épisode de ""Plus belle la Vie"". Il ne faut jamais décevoir les inscrits du corps lectoral, le flatter, lui donner ce qu'il veut, surtout que sur la Zone, il a plutôt bon goût et puisque tout flatteur vit au dépends de celui qui le lit, j'ouvre un large bec et laisse tomber mon spoil aguicheur : cette leçon vaut bien un middle twist et la mort brutale d'un des personnages principaux de la saga."
107,2018-08-03,Comme papa dans maman,Mala Espina," Avec un titre comme celui-ci, on était en droit d'attendre du grivois, du pas beau, du sévèrement grossier jusqu'à la moelle mais que nenni. (Je déteste cette expression, je sais même pas pourquoi je l'emploie). Des grossièretés, oui, y en a et pas qu'un peu mais la situation décrite, hélas banale pour beaucoup trop de femmes, suffit à passer du registre grossier à celui de l'ordurier avec tout ce ce que ça implique. Simple et glaçant."
108,2018-04-21,La philosophie de mes couilles,Blaireau," Blaireau débarque pour philosopher entre une allitérations et un grattage de burnes sur l'opposition apparemment irrémédiable entre deux de nos auteurs les plus fondamentaux : Montaigne et Daniel Balavoine. Lequel des deux périra dans les flammes ? Message complémentaire de l'auteur : ""Quel site de gros nazes. Je me frotte les couilles sur vos tronches."""
109,2006-01-29,Blogule rouge - 29 Janvier,Lapinchien," Jack nous raconte ses déboires avec la gent féminine. Mais en bon génie qui se respecte, ses faiblesses seront transcendées dans son art. Aussi à la suite d'une rencontre avec une chiennasse, il se lance dans la conception d'un remake organique et gluant de Roméo et Juliette. Totalement et définitivement excellent."
110,2006-02-08,Deuxième dialogue,[222]," Putain j'adore. Je sais pas si ça fait de moi un maldororien attardé, un crypto-dépressif voire une néo-gothopouffe. Mais j'adore. C'est volontairement appuyé sur l'agression acerbe et déclamatoire, c'est organique et tortueux, la lecture est pleine d'embûches et de chausse-trappes, mais c'est bô."
111,2009-08-25,Indus martial n°2,Glaüx-le-Chouette," Ca faisait longtemps que personne n'avait osé proposer de la vraie poésie en prose, du genre qui joue sur les sonorités et les rythmes et nie toute intrigue ou psychologie. Ce coup-ci, c'est une réussite, à ceci près que c'est sans doute un peu trop long, on finit saoûlé. Sinon : rythme écrasant, répétitions obsessionnelles d'images meurtrières, ambiance cataclysmique. On suit, fasciné, le parcours d'une machine de guerre humaine qui ne sait plus qu'écraser, détruire, supprimer. Intense et fatigant."
112,2007-05-20,Asylum 4 - Cellule 215,Hag," Hag nous a bombardé de textes comiques récemment, mais il ne faut pas oublier que c'est également un excellent auteur de textes sombres. Il en fait la preuve dans cet épisode cataclysmique, mystique au possible, où il incarne un prophète de la fin du monde de la meilleure manière qui soit. L'avalanche de sermons disjonctés et d'hallucinations morbides peut se révéler un peu lourde sur la longueur, mais c'est quand même un putain de chef d'oeuvre."
113,2010-06-09,Chroniques d'un monde parfait - 2,Nico," La deuxième et avant-dernière partie de l'introduction à ""Chronique d'un monde parfait"", qui tout comme la première partie, est très réussie, bien que plus sérieuse, et pour ne rien gâcher, à un côté mystique assez plaisant. Du tout bon."
114,2016-11-24,Larmes d'absinthe ou Pervers polymorphes,Clacker," En fin de compte, le texte ""Liquide Séminal ou Mollusque de chien-lézard"" n'avait rien à voir avec notre convention #TrollCon2016. Ci-gît un nouveau texte, peut-être une suite ou une histoire se déroulant dans le même univers onirique, qui vient le démontrer. Des hybrides batifolent dans des dimensions parallèles et intriquées par endroits à celles d'humains de pacotille, probablement les nôtres. Un texte d'ambiance avec une esthétique et une mécanique proche des films de David Cronenberg. Mais je me trompe peut-être ? Mandeville en Louisiane a surement une connexion tellurique ou feng shui avec Pripyat en Ukraine. J'en sais rien j'y suis jamais allé. Un texte avec des tas de références que je n'ai pas comme celles à la chanson ""The Hurdy gurdy man"" de Donovan. Enfin, j'en ai mais pas les bonnes : Le SoundTrack du film Zodiac et David Fincher et des trucs qui fleurent les bad trips au LSD ou aux champignons magiques. Retour d'un style envoûtant et singulier qu'on a hâte de retrouver prochainement."
115,2017-02-28,Effets de manche (1/2),Muscadet," Ce texte nous prouve que seuls les animaux ont besoin de gadgets oculaires et audio grotesques pour accéder aux réalités virtuelles et augmentées. Le commun des mortels n'y aura jamais accès. Muscadet fait indéniablement partie des happy few. On retrouve avec joie, son désormais célèbre personnage narrateur, ce journaliste belge, un peu autiste asperger, un peu Doctor Who, capable par la pensée seule d'explorer nos réalités, les univers parallèles, l'espace, le temps, sonder l'âme et la conscience des quidams, reconstruire toute leur vie, percer leurs vices et damnations, en un battement de cils. Ses aventures épiques nous propulsent dans le multivers kaléidoscopique entre Bruxelles, la Bretagne côtière, de Saint-Malo au Mont Saint Michel, en passant par la gare du Nord parisienne. Le journaliste se déploie, traçant des segments secs dans l'espace-temps, tout en variant son curseur de perception chronologique de l'Antiquité grecque à d'obscures projections de futurs inéluctables, sans oublier de revenir parfois dans notre contemporanéité médiocre pour lâcher une pêche ou se branler devant sa TV pendant le JT d'Anne Claire Coudray. Son gonzo journalisme se distingue néanmoins de celui d'Hunter S. Thompson par l'aptitude de son cerveau génial à sécréter ses propres substances psychotropes. Mais peut-être la consommation de nombreux fruits de mer, plats gastronomiques, fromages et vins raffinés réservés aux fines bouches, la profusion de luxe, son insatiabilité pour les faits historiques à la limite de la collectionite aiguë, peuvent-ils à eux seuls expliquer le foisonnement des idées de cet entité humanoïde hyper-sciente et hors du commun ? Ce taggeur compulsif de livres d'or, dragueur indécrottable de chauffeurs de taxis, nous réserve encore bien d'agréables surprises dans cette splendide ballade en 2 parties pour cause de stack overflow des bases de données de la Zone et de nos petits esprits étriqués."
116,2020-07-19,projet stand-up.docx,tomatefarcie," Je ne sais pas vous, mais moi je meurs d'envie de voir le numéro de stand up de tomatefarcie en direct à Châteauroux. J'ai presque envie de lui organiser une cagnotte en ligne pour mener à bien le projet et lui donner la moitié de mon RSA, avec pour seule contrepartie un passage obligé de la tournée par Inzinzac-Lochrist dans le Morbihan. L'auteur s'est fendu d'un traitement original du thème imposé, et le résultat fait mouche. Ça balance des vannes dans tous les sens, c'est authentiquement drôle et méchant (question de subjectivité, me direz-vous ? Rien à carrer de votre opinion) et l'angle parodique fonctionne diablement."
117,2020-12-29,Demi-sel,CTRL X," Vous croyiez que la Zone allait faire l'impasse sur les histoires de réveillon de Noël qui font les records d'audimat sur le mainstream ? Et bien c'est mal connaître CTRL X qui nous offre ici une love story magnifique et poignante entre un homme et une huître. Que dis-je une huître ? Un harem d’huîtres. L'auteur ouvre ainsi notre appel à textes ""Placement de produits"" avec cette histoire d'amour impossible digne de Montaigu VS Capulet. Vous aurez droit à des pleurs, du rire des larmes et des grincements de dents. Un bonheur pour cette fin d'année, du miel pour vos yeux."
118,2021-04-02,Fist-dating,Un Dégueulis," Un Dégueulis trouve un bon filon et sait bien en dérouler la pelote dans sa participation à l'appel à textes ""placement de produits"". Esprit zonard du début à la fin tant dans l'humour que dans la forme. C'est à se taper le cul par terre tant et si bien qu'on se demande si l'auteur n'est pas un des grands anciens revenu avec un autre avatar. Ou peut être que la réincarnation existe. Conseil : à lire quand on ne mange pas en même temps ses céréales Chocapic sinon prévoir un défibrillateur."
119,2005-02-15,La subversion pour les nuls : descriptif de l'endroit,Strange," Toujours avide de reconnaissance (et de fric), M. Yo tente de s'imposer comme le guide touristique de la Zone. Et il entraine sa copine Strange dans sa perversion, ce tordu. On a donc une description détaillée et parodique de l'environnement zonard, destinée au néophytes : qu'est-ce que la Zone, qu'est-ce qu'elle contient, pourquoi ils sont méchants les gens, etc... C'est débile, hilaratif et excellent. Texte à placarder à l'entrée de la décharge."
120,2005-11-04,C'est celui qui lit qui y est,Nounourz," Les lecteurs sont des cons, c'est une constante universelle. Infoutus de réfrener leur curiosité. Infoutus de saisir la pensée profonde de l'auteur. Infoutus d'être attentifs aux efforts de celui qui pourtant se torture l'esprit pour leur plaisir. Ce coup-ci, la balle change de camp et l'auteur vexé se venge. Maintenant je suppose que si je vous dis de ne pas lire ce texte pour votre bien, vous allez lire quand même malgré l'avertissement ?"
121,2006-12-07,Cocon,Aliocha," Des tournures minimalistes, du malaise qui sourd d'un quotidien pourtant présenté comme agréable. Une sorte de confusion mentale étrange, des répétitions obsessionnelles. Et en peu de temps, la maladie mentale qui prend le dessus. Totalement innovant dans le psychopathologique, genre pourtant bien rôdé (voire bien érodé) sur la Zone. Excellent."
122,2011-11-04,Poèmes de merde,Dourak Smerdiakov," En candidat redoutable, Dourak pose ici un texte qui monte tout de suite le niveau d'un cran pour la Saint-Con de cette année, c'est zonard et connesque comme il se doit, le seul bémol restera la crémation plutôt courte, mais du reste, ça passe tout seul."
123,2002-12-14,Programme électoral 6,Lapinchien," On salue le premier article de Lapinchien depuis plus de trois mois, hélas sans l'une de ses habituelles images de lapin jaune. L'attente valait le coup puisqu'on tient là un des meilleurs articles lus sur la Zone, sans doute l'un des tous meilleurs de Lapinchien. Ca mélange politique-fiction, humour, subversion, ça vaut vraiment le déplacement. Encore !"
124,2002-06-11,Nevrotica 2,Tulia," Une nouvelle humeur noire par Tulia, qui n'a que ça en stock à peu près, sauf que là ça tourne au psychopathologique façon Bible du néant de nihil. A lire absolumment pour bien flipper."
